日期,最高气温,最低气温,天气,风向,风力,url
2021-05-31 星期一 ,20℃,16℃,小雨,东风 ,2级,https://lishi.tianqi.com/beijing/202105.html
2021-06-01 星期二 ,28℃,17℃,多云,东南风 ,3级,https://lishi.tianqi.com/beijing/202106.html
2021-06-02 星期三 ,26℃,15℃,多云,北风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-03 星期四 ,29℃,14℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202106.html
2021-06-04 星期五 ,29℃,17℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202106.html
2021-06-05 星期六 ,33℃,17℃,晴,西北风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-06 星期日 ,33℃,20℃,阴,东风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-07 星期一 ,28℃,20℃,阴,东风 ,3级,https://lishi.tianqi.com/beijing/202106.html
2021-06-08 星期二 ,28℃,21℃,多云,东风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-09 星期三 ,25℃,19℃,阴,北风 ,3级,https://lishi.tianqi.com/beijing/202106.html
2021-06-10 星期四 ,32℃,18℃,晴,西风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-11 星期五 ,35℃,19℃,阴,西南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-12 星期六 ,35℃,23℃,阴,南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-13 星期日 ,34℃,23℃,阴,南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-14 星期一 ,28℃,22℃,多云,东风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-15 星期二 ,32℃,20℃,阴,东南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-16 星期三 ,20℃,20℃,小雨,东南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-17 星期四 ,32℃,19℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202106.html
2021-06-18 星期五 ,34℃,19℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202106.html
2021-06-19 星期六 ,35℃,20℃,晴,西北风 ,3级,https://lishi.tianqi.com/beijing/202106.html
2021-06-20 星期日 ,34℃,23℃,多云,西南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-21 星期一 ,35℃,22℃,晴,东风 ,3级,https://lishi.tianqi.com/beijing/202106.html
2021-06-22 星期二 ,32℃,21℃,多云,南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-23 星期三 ,23℃,22℃,阴,东南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-24 星期四 ,27℃,20℃,小雨转阴,南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-25 星期五 ,28℃,22℃,小雨,东南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-26 星期六 ,27℃,22℃,晴,东北风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-27 星期日 ,33℃,22℃,晴,东风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-28 星期一 ,30℃,22℃,多云,东南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-29 星期二 ,27℃,22℃,小雨到中雨,东南风 ,2级,https://lishi.tianqi.com/beijing/202106.html
2021-06-30 星期三 ,29℃,23℃,晴,西风 ,1级,https://lishi.tianqi.com/beijing/202106.html
2021-07-01 星期四 ,29℃,19℃,阴,西南风 ,2级,https://lishi.tianqi.com/beijing/202107.html
2021-07-02 星期五 ,30℃,19℃,阴,南风 ,2级,https://lishi.tianqi.com/beijing/202107.html
